state,county,Barack Obama,Mitt Romney,Other_2012,Total Votes_2012,Winner_2012,Margin_2012,Donald Trump,Hillary Clinton,Other_2016,Total Votes_2016,Winner_2016,Margin_2016,Total_Votes_Percent_Change
Arkansas,Washington,28236,39688,2536,70460,Mitt Romney,11452,41476,33366,7019,81861,Donald Trump,8110,16.18
Arkansas,White,5765,20011,738,26514,Mitt Romney,14246,21077,5170,972,27219,Donald Trump,15907,2.66
Arkansas,Woodruff,1340,1227,118,2685,Barack Obama,113,1347,1118,106,2571,Donald Trump,229,-4.25
Arkansas,Yell,1722,4042,210,5974,Mitt Romney,2320,4608,1480,351,6439,Donald Trump,3128,7.78
California,Alameda,469684,108182,17776,595642,Barack Obama,361502,95922,514842,43502,654266,Hillary Clinton,418920,9.84
California,Alpine,389,236,28,653,Barack Obama,153,217,334,51,602,Hillary Clinton,117,-7.81
California,Amador,6830,10281,538,17649,Mitt Romney,3451,10485,6004,1245,17734,Donald Trump,4481,0.48
California,Butte,42669,44479,3604,90752,Mitt Romney,1810,45144,41567,8853,95564,Donald Trump,3577,5.3
California,Calaveras,8670,12365,751,21786,Mitt Romney,3695,13511,7944,1681,23136,Donald Trump,5567,6.2
California,Colusa,2314,3601,119,6034,Mitt Romney,1287,3551,2661,420,6632,Donald Trump,890,9.91
California,Contra Costa,290824,136517,10885,438226,Barack Obama,154307,115956,319287,30932,466175,Hillary Clinton,203331,6.38
California,Del Norte,3791,4614,365,8770,Mitt Romney,823,5134,3485,939,9558,Donald Trump,1649,8.99
California,El Dorado,35166,50973,2635,88774,Mitt Romney,15807,49247,36404,7940,93591,Donald Trump,12843,5.43
California,Fresno,129129,124490,5208,258827,Barack Obama,4639,124049,141341,16929,282319,Hillary Clinton,17292,9.08
California,Glenn,3301,5632,278,9211,Mitt Romney,2331,5788,3065,617,9470,Donald Trump,2723,2.81
California,Humboldt,34457,18825,4188,57470,Barack Obama,15632,18373,33200,7673,59246,Hillary Clinton,14827,3.09
California,Imperial,25136,12777,652,38565,Barack Obama,12359,12704,32667,2720,48091,Hillary Clinton,19963,24.7
California,Inyo,3422,4340,274,8036,Mitt Romney,918,4248,3155,683,8086,Donald Trump,1093,0.62
California,Kern,89495,126618,5359,221472,Mitt Romney,37123,129584,98689,15890,244163,Donald Trump,30895,10.25
California,Kings,12979,17671,768,31418,Mitt Romney,4692,18093,13617,2205,33915,Donald Trump,4476,7.95
California,Lake,13163,9200,1028,23391,Barack Obama,3963,10599,11496,2401,24496,Hillary Clinton,897,4.72
California,Lassen,3053,7296,334,10683,Mitt Romney,4243,7574,2224,726,10524,Donald Trump,5350,-1.49
California,Los Angeles,2216903,885333,78831,3181067,Barack Obama,1331570,769743,2464364,200201,3434308,Hillary Clinton,1694621,7.96
California,Madera,16018,22852,996,39866,Mitt Romney,6834,23357,17029,2726,43112,Donald Trump,6328,8.14
California,Marin,99896,30880,3740,134516,Barack Obama,69016,21771,108707,8795,139273,Hillary Clinton,86936,3.54
California,Mariposa,3498,5140,362,9000,Mitt Romney,1642,5185,3122,570,8877,Donald Trump,2063,-1.37
California,Mendocino,23193,9658,2166,35017,Barack Obama,13535,10888,22079,4510,37477,Hillary Clinton,11191,7.03
California,Merced,33005,27581,1471,62057,Barack Obama,5424,28725,37317,4747,70789,Hillary Clinton,8592,14.07
California,Modoc,1111,2777,98,3986,Mitt Romney,1666,2696,877,215,3788,Donald Trump,1819,-4.97
California,Mono,2733,2285,163,5181,Barack Obama,448,2111,2773,392,5276,Hillary Clinton,662,1.83
California,Monterey,82920,37390,3208,123518,Barack Obama,45530,34895,89088,9425,133408,Hillary Clinton,54193,8.01
California,Napa,35870,19526,1572,56968,Barack Obama,16344,17411,39199,4762,61372,Hillary Clinton,21788,7.73
California,Nevada,24663,24986,2027,51676,Mitt Romney,323,23365,26053,5517,54935,Hillary Clinton,2688,6.31
California,Orange,512440,582332,27892,1122664,Mitt Romney,69892,507148,609961,80412,1197521,Hillary Clinton,102813,6.67
California,Placer,66818,99921,4583,171322,Mitt Romney,33103,95138,73509,14192,182839,Donald Trump,21629,6.72
California,Plumas,4026,5721,300,10047,Mitt Romney,1695,5420,3459,797,9676,Donald Trump,1961,-3.69
California,Riverside,329063,318127,14717,661907,Barack Obama,10936,333243,373695,44453,751391,Hillary Clinton,40452,13.52
California,Sacramento,300503,202514,13792,516809,Barack Obama,97989,189789,326023,43518,559330,Hillary Clinton,136234,8.23
California,San Benito,11276,7343,425,19044,Barack Obama,3933,7841,12521,1562,21924,Hillary Clinton,4680,15.12
California,San Bernardino,305109,262358,14050,581517,Barack Obama,42751,271240,340833,41910,653983,Hillary Clinton,69593,12.46
California,San Diego,626957,536726,28599,1192282,Barack Obama,90231,477766,735476,93158,1306400,Hillary Clinton,257710,9.57
California,San Francisco,301723,47076,12410,361209,Barack Obama,254647,37688,345084,23020,405792,Hillary Clinton,307396,12.34
California,San Joaquin,114121,86071,4505,204697,Barack Obama,28050,88936,121124,14106,224166,Hillary Clinton,32188,9.51
California,San Luis Obispo,61258,59967,4413,125638,Barack Obama,1291,56164,67107,11738,135009,Hillary Clinton,10943,7.46
California,San Mateo,206085,72756,6879,285720,Barack Obama,133329,57929,237882,18573,314384,Hillary Clinton,179953,10.03
California,Santa Barbara,94129,64606,4585,163320,Barack Obama,29523,56365,107142,13279,176786,Hillary Clinton,50777,8.25
California,Santa Clara,450818,174843,17430,643091,Barack Obama,275975,144826,511684,47199,703709,Hillary Clinton,366858,9.43
California,Santa Cruz,90805,24047,5243,120095,Barack Obama,66758,22438,95249,11134,128821,Hillary Clinton,72811,7.27
California,Shasta,25819,48067,2449,76335,Mitt Romney,22248,51778,22301,5974,80053,Donald Trump,29477,4.87
California,Sierra,653,1056,86,1795,Mitt Romney,403,1048,601,181,1830,Donald Trump,447,1.95
California,Siskiyou,8046,11077,787,19910,Mitt Romney,3031,11341,7234,1917,20492,Donald Trump,4107,2.92
California,Solano,96783,52092,3569,152444,Barack Obama,44691,51920,102360,11833,166113,Hillary Clinton,50440,8.97
California,Sonoma,153942,54784,7782,216508,Barack Obama,99158,51408,160435,19410,231253,Hillary Clinton,109027,6.81
California,Stanislaus,77724,73459,4186,155369,Barack Obama,4265,78494,81647,12005,172146,Hillary Clinton,3153,10.8
California,Sutter,12192,18122,712,31026,Mitt Romney,5930,18176,13076,2271,33523,Donald Trump,5100,8.05
California,Tehama,7934,14235,808,22977,Mitt Romney,6301,15494,6809,1605,23908,Donald Trump,8685,4.05
California,Trinity,2674,2716,284,5674,Mitt Romney,42,2812,2214,660,5686,Donald Trump,598,0.21
California,Tulare,41752,56956,2392,101100,Mitt Romney,15204,58299,47585,6450,112334,Donald Trump,10714,11.11
California,Tuolumne,9998,13880,809,24687,Mitt Romney,3882,14551,9123,1855,25529,Donald Trump,5428,3.41
California,Ventura,170929,147958,8087,326974,Barack Obama,22971,132323,194402,25001,351726,Hillary Clinton,62079,7.57
California,Yolo,48715,23368,2392,74475,Barack Obama,25347,20739,54752,6599,82090,Hillary Clinton,34013,10.22
California,Yuba,7711,11275,714,19700,Mitt Romney,3564,13170,7910,1918,22998,Donald Trump,5260,16.74
Colorado,Adams,100649,70972,4609,176230,Barack Obama,29677,80082,96558,17025,193665,Hillary Clinton,16476,9.89
Colorado,Alamosa,3811,2705,199,6715,Barack Obama,1106,3046,3189,704,6939,Hillary Clinton,143,3.34
Colorado,Arapahoe,153905,125588,6023,285516,Barack Obama,28317,117053,159885,26108,303046,Hillary Clinton,42832,6.14
Colorado,Archuleta,2679,3872,183,6734,Mitt Romney,1193,4264,2500,575,7339,Donald Trump,1764,8.98
Colorado,Baca,467,1559,80,2106,Mitt Romney,1092,1753,283,117,2153,Donald Trump,1470,2.23
Colorado,Bent,815,1075,52,1942,Mitt Romney,260,1188,590,149,1927,Donald Trump,598,-0.77
Colorado,Boulder,125091,49981,4427,179499,Barack Obama,75110,41396,132334,14412,188142,Hillary Clinton,90938,4.82
Colorado,Broomfield,16966,15008,803,32777,Barack Obama,1958,14367,19731,3591,37689,Hillary Clinton,5364,14.99
Colorado,Chaffee,5086,5070,306,10462,Barack Obama,16,5391,4888,971,11250,Donald Trump,503,7.53
