state,county,median_age,unemployment,total_population,graduate_degree,at_least_bachelor_s_degree,at_least_high_school_diploma,less_than_high_school,median_earnings_2010_dollars,white,black,hispanic,asian,farming_fishing_and_forestry_occupations,construction_extraction_maintenance_and_repair_occupations,management_professional_and_related_occupations,production_transportation_and_material_moving_occupations,sales_and_office_occupations,service_occupations
Iowa,Clay,42.6,0.05,16671,3.6,18.5,91.3,8.7,25277.95651,95.2,0.25,2.75,0.65,1.9,10,26.05,16.75,28.8,16.6
Iowa,Clayton,44,0.062,17898,3.9,14.9,90.2,9.8,24879.94857,97.2,0.2,1.45,0.1,3.15,10.1,26.4,24.2,20.85,15.25
Iowa,Clinton,41.1,0.061,49122,4.6,17,89.3,10.7,25891.22381,93,2.3,2.15,0.7,0.5,10.2,28.35,21.9,23.15,15.95
Iowa,Crawford,38.9,0.043,16787,4.7,15,79,21,24854.68635,76.55,0.8,21.7,0.35,2.5,11,23.3,29.75,19.8,13.65
Iowa,Dallas,34.3,0.043,61625,10.6,40.2,92.7,7.3,36673.19048,89.45,1.15,6.2,1.95,0.95,7.9,43.7,9.05,26.45,11.95
Iowa,Davis,39.6,0.064,8651,4.8,17,81.8,18.2,26790.78286,97.5,0.35,0.8,0.2,1.3,12.35,33.1,24.95,15.3,13
Iowa,Decatur,38.7,0.047,8389,4.6,17.8,83,17,18562.84445,94.05,1.35,2.3,0.8,2.9,7.35,34.2,18.25,18.95,18.3
Iowa,Delaware,40.9,0.044,17604,4,14.6,91.3,8.7,27648.23651,98.15,0.15,0.9,0.15,2.3,11,29.45,22.3,20.9,14.1
Iowa,Des Moines,41.5,0.064,40512,5.3,17.6,89.7,10.3,24628.30381,90.25,4.3,2.5,0.85,0.25,9.05,27.9,21.95,21.05,19.75
Iowa,Dickinson,46.8,0.058,16641,8.1,27.2,93.3,6.7,27358.44571,97.65,0.3,1.05,0.3,0.8,9.8,33,15.75,23.7,16.9
Iowa,Dubuque,38.2,0.048,92849,8.8,25.3,89.4,10.6,26345.32603,93.9,1.9,1.8,0.85,0.55,7.8,33.25,15.75,24.95,17.8
Iowa,Emmet,40.7,0.047,10329,4.9,18.1,86.9,13.1,25169.97016,91.4,0.5,6.75,0.4,3.4,10.05,25.85,19.3,23.55,17.9
Iowa,Fayette,42.4,0.057,20682,5,16.5,88.2,11.8,22316.32445,95.9,0.85,1.8,0.5,2.7,10.25,27.8,21.15,22.45,15.55
Iowa,Floyd,43.3,0.064,16232,4.2,14.9,91.6,8.4,24687.74603,95.05,1.2,2,1,1.15,9,28.6,24.55,20.6,16.1
Iowa,Franklin,43.3,0.047,10637,3.6,14.4,84.3,15.7,24040.65651,87,0.15,11.8,0.3,4.05,11.85,25.25,23.35,20.75,14.75
Iowa,Fremont,44.5,0.057,7464,3.7,17.4,91.1,8.9,28909.56699,95.6,0.4,2.75,0.15,1.3,9.75,30.95,18.35,20.5,19.1
Iowa,Greene,44.9,0.052,9412,3.8,17.5,88.4,11.6,24936.03588,96.55,0.15,2.05,0.2,2.7,8.65,31.65,17.85,24.85,14.25
Iowa,Grundy,42.5,0.045,12309,4.8,21.6,91.2,8.8,29828.72318,98.1,0.1,0.9,0.2,3.15,9.25,32.85,17.75,23.55,13.5
Iowa,Guthrie,44.2,0.057,10993,3.7,18.9,91.2,8.8,28543.82476,96.7,0.15,1.9,0.3,2.3,11.95,33.15,12.35,25.3,14.9
